"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.140838623E0,8.622924805E0,-3.554687500E-1,8.891815351E0
4.974365000E-3,2.483200073E0,8.749816895E0,-9.449768066E-2,9.095851148E0
9.979248000E-3,2.310821533E0,8.352371216E0,2.041625977E-2,8.666165121E0
1.498413000E-2,2.404190063E0,8.409835815E0,1.568908691E-1,8.748147407E0
1.995849600E-2,2.576583862E0,8.608551025E0,2.239227295E-1,8.988663780E0
2.493286100E-2,2.906982422E0,8.792907715E0,2.789916992E-1,9.265182635E0
2.993774400E-2,3.395401001E0,9.051483154E0,3.723754883E-1,9.674541785E0
3.491210900E-2,3.802413940E0,9.216690063E0,5.471496582E-1,9.985244126E0
3.991699200E-2,4.139999390E0,9.360336304E0,9.014892578E-1,1.027463739E1
4.489135700E-2,4.367446899E0,9.482437134E0,1.255828857E0,1.051514681E1
4.986572200E-2,4.585311890E0,9.551864624E0,1.672424316E0,1.072661205E1
5.484008700E-2,4.709808350E0,9.652435303E0,1.926208496E0,1.091155723E1
5.984497000E-2,4.815155029E0,9.738616943E0,2.100982666E0,1.106528382E1
6.481933500E-2,4.781631470E0,9.764953613E0,2.321243286E0,1.111784552E1
6.979370100E-2,4.697845459E0,9.752990723E0,2.519973755E0,1.111489306E1
7.476806600E-2,4.547012329E0,9.657211304E0,2.620529175E0,1.099109751E1
7.974243100E-2,4.424896240E0,9.585388184E0,2.558273315E0,1.086297085E1
8.471679600E-2,4.276458740E0,9.492019653E0,2.452926636E0,1.069595183E1
8.972167900E-2,4.027465820E0,9.391464233E0,2.225479126E0,1.045814700E1
9.469604400E-2,3.788040161E0,9.345977783E0,2.096191406E0,1.030002754E1
9.967041000E-2,3.591720581E0,9.235839844E0,1.983673096E0,1.010624328E1
1.046447750E-1,3.333145142E0,9.185562134E0,1.878326416E0,9.950503423E0
1.096191400E-1,3.021896362E0,9.137680054E0,1.808883667E0,9.792911442E0
1.145935050E-1,2.653198242E0,9.049087524E0,1.720306396E0,9.585661168E0
1.195678710E-1,2.394622803E0,9.003601074E0,1.562286377E0,9.446681396E0
1.245727530E-1,2.334762573E0,8.941345215E0,1.217529297E0,9.321005746E0
1.295471190E-1,2.370681763E0,8.915008545E0,8.248748779E-1,9.261637433E0
1.345214840E-1,2.497573853E0,8.905441284E0,5.136260986E-1,9.263291606E0
1.394958490E-1,2.672348022E0,8.792907715E0,2.071685791E-1,9.192365792E0
1.444702140E-1,2.729812622E0,8.701934814E0,1.161956787E-1,9.120803029E0
1.494445800E-1,2.780090332E0,8.642074585E0,4.435729980E-2,9.078343624E0
1.544189450E-1,2.789657593E0,8.594192505E0,-7.534790039E-2,9.035928929E0
1.593933100E-1,2.839935303E0,8.548706055E0,-2.405395508E-1,9.011296633E0
1.643676750E-1,2.906982422E0,8.553497314E0,-4.225006104E-1,9.043858130E0
1.693725580E-1,3.009933472E0,8.637283325E0,-4.991149902E-1,9.160320874E0
1.743469230E-1,3.019500732E0,8.725875854E0,-4.584197998E-1,9.244914430E0
1.793212890E-1,2.878250122E0,8.859954834E0,-3.674316406E-1,9.322989297E0
1.842956540E-1,2.736984253E0,9.037124634E0,-9.449768066E-2,9.442967450E0
1.892700190E-1,2.681930542E0,9.144851685E0,2.430877686E-1,9.533108382E0
1.942443840E-1,2.753753662E0,9.204711914E0,6.357269287E-1,9.628812460E0
1.992187500E-1,2.954864502E0,9.168792725E0,9.685211182E-1,9.681736281E0
2.041931150E-1,3.211044312E0,9.068237305E0,1.143295288E0,9.687665224E0
2.091979980E-1,3.527084351E0,9.017959595E0,9.445800781E-1,9.729139263E0
2.141723630E-1,3.716217041E0,9.005996704E0,6.141815186E-1,9.761939596E0
2.191467280E-1,3.917327881E0,9.003601074E0,4.106750488E-1,9.827458676E0
2.241210930E-1,4.120834351E0,9.063461304E0,2.765960693E-1,9.960126100E0
2.290954590E-1,4.400955200E0,9.070632935E0,1.266479492E-3,1.008190409E1
2.340698240E-1,4.671508789E0,9.032333374E0,-2.932128906E-1,1.017310249E1
2.390441890E-1,4.812759399E0,8.998809814E0,-5.182800293E-1,1.021811359E1
2.440185540E-1,4.681076050E0,8.919799805E0,-5.446166992E-1,1.008820643E1
2.489929190E-1,4.362655640E0,8.926986694E0,-5.374298096E-1,9.950511870E0
2.539672850E-1,4.077743530E0,8.912612915E0,-5.039062500E-1,9.814101221E0
2.589721680E-1,3.912536621E0,8.886291504E0,-3.530731201E-1,9.715903465E0
2.639465330E-1,3.850296021E0,8.840789795E0,-1.375885010E-1,9.643820521E0
2.689208980E-1,3.864654541E0,8.704330444E0,1.066131592E-1,9.524299952E0
2.738952630E-1,3.881423950E0,8.563064575E0,2.646331787E-1,9.405400444E0
2.788696280E-1,3.816772461E0,8.479263306E0,2.550506592E-1,9.302188402E0
2.838439940E-1,3.704254150E0,8.517578125E0,1.640777588E-1,9.289647864E0
2.888183590E-1,3.649185181E0,8.529541016E0,1.305541992E-1,9.278290081E0
2.937927240E-1,3.474411011E0,8.651657104E0,7.069396973E-2,9.323502569E0
2.987976070E-1,3.354690552E0,8.745025635E0,7.548522949E-2,9.366702732E0
3.037719720E-1,3.366668701E0,8.754608154E0,1.090087891E-1,9.380272117E0
3.087463370E-1,3.381027222E0,8.749816895E0,2.239227295E-1,9.383004964E0
3.137207030E-1,3.354690552E0,8.735443115E0,4.346160889E-1,9.367540033E0
3.186950680E-1,3.246948242E0,8.740234375E0,7.434692383E-1,9.353454780E0
3.236694330E-1,3.254135132E0,8.716293335E0,9.158477783E-1,9.348900583E0
3.286437980E-1,3.460037231E0,8.567855835E0,1.188796997E0,9.316289473E0
3.336181640E-1,3.687484741E0,8.493637085E0,1.488067627E0,9.378366591E0
