"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,8.910675049E-1,9.068237305E0,3.307662964E0,9.693686780E0
4.974365000E-3,4.600982666E-1,9.058670044E0,3.480041504E0,9.715033826E0
9.979248000E-3,4.591369629E-2,9.029937744E0,3.542297363E0,9.699987337E0
1.498413000E-2,-1.623840332E-1,9.099365234E0,3.518356323E0,9.757235646E0
1.995849600E-2,-4.257507324E-1,9.231048584E0,3.594970703E0,9.915509871E0
2.493286100E-2,-5.909576416E-1,9.386672974E0,3.592575073E0,1.006804132E1
2.993774400E-2,-7.082672119E-1,9.460891724E0,3.611724854E0,1.015158466E1
3.491210900E-2,-7.633361816E-1,9.518356323E0,3.475250244E0,1.016165112E1
3.991699200E-2,-9.620513916E-1,9.319641113E0,3.544692993E0,1.001729014E1
4.489135700E-2,-9.835968018E-1,9.513565063E0,3.724258423E0,1.026379480E1
4.986572200E-2,-8.614959717E-1,9.554260254E0,3.757766724E0,1.030276056E1
5.484008800E-2,-6.675720215E-1,9.523147583E0,3.623703003E0,1.021113195E1
5.984497000E-2,-5.526428223E-1,9.482437134E0,3.494415283E0,1.012091726E1
6.481933600E-2,-4.664459229E-1,9.434555054E0,3.365127563E0,1.002758617E1
6.979370100E-2,-3.467407227E-1,9.300476074E0,3.199920654E0,9.841675494E0
7.476806600E-2,-2.533721924E-1,9.290908813E0,2.996414185E0,9.765433017E0
7.977294900E-2,-1.528167725E-1,9.254989624E0,2.711502075E0,9.645228323E0
8.474731400E-2,-1.025390625E-1,9.211898804E0,2.472091675E0,9.538387237E0
8.972167900E-2,-6.182861328E-2,9.147247314E0,2.287734985E0,9.429193368E0
9.469604500E-2,-1.504211426E-1,9.085006714E0,2.292526245E0,9.371000485E0
9.967041000E-2,-2.844848633E-1,9.058670044E0,2.359558105E0,9.365252215E0
1.046447750E-1,-2.916717529E-1,9.092178345E0,2.450531006E0,9.421140147E0
1.096496580E-1,-3.036499023E-1,9.137680054E0,2.551086426E0,9.491967234E0
1.146240230E-1,-2.844848633E-1,9.214294434E0,2.783325195E0,9.629696397E0
1.195983880E-1,4.119873047E-4,9.338790894E0,2.891067505E0,9.776056815E0
1.245727540E-1,7.463073730E-2,9.506378174E0,3.046691895E0,9.982941812E0
1.295471190E-1,2.518157959E-1,9.582992554E0,3.180770874E0,1.010022083E1
1.345214840E-1,4.026489258E-1,9.571029663E0,3.302871704E0,1.013290168E1
1.395263670E-1,5.319366455E-1,9.523147583E0,3.415405273E0,1.013105570E1
1.445007320E-1,5.726318359E-1,9.432159424E0,3.444137573E0,1.005761514E1
1.494750970E-1,6.851654053E-1,9.369918823E0,3.386672974E0,9.986710380E0
1.544494630E-1,6.396636963E-1,9.223861694E0,3.314849854E0,9.822271822E0
1.594238280E-1,6.971282959E-1,9.113739014E0,3.221466064E0,9.691443147E0
1.643981930E-1,7.306518555E-1,9.034729004E0,3.092178345E0,9.577147134E0
1.693725580E-1,7.904968262E-1,8.972473145E0,2.895858765E0,9.461297879E0
1.743774410E-1,7.833251953E-1,8.958114624E0,2.752212524E0,9.404046457E0
1.793518060E-1,7.761383057E-1,8.900650024E0,2.692352295E0,9.331276569E0
1.843261710E-1,7.378387451E-1,8.855163574E0,2.783325195E0,9.311564159E0
1.893005370E-1,8.336029053E-1,8.879104614E0,2.922195435E0,9.384701312E0
1.942749020E-1,8.240203857E-1,8.960510254E0,3.197525024E0,9.549550769E0
1.992492670E-1,8.455657959E-1,9.010787964E0,3.477645874E0,9.695530005E0
2.042236320E-1,9.030303955E-1,9.025146484E0,3.764953613E0,9.820570690E0
2.092285150E-1,9.078216553E-1,9.075424194E0,3.985214233E0,9.953361088E0
2.142028800E-1,8.838806152E-1,9.020355225E0,4.260559082E0,1.001500959E1
2.191772460E-1,8.072662354E-1,8.910232544E0,4.480819702E0,1.000608155E1
2.241516110E-1,5.103759766E-1,8.785720825E0,4.622070312E0,9.940468200E0
2.291259760E-1,2.254791260E-1,8.553497314E0,4.626861572E0,9.727332890E0
2.341003410E-1,2.087097168E-1,8.369140625E0,4.294067383E0,9.408777244E0
2.390747070E-1,2.398376465E-1,8.443359375E0,3.851150513E0,9.283275279E0
2.440795890E-1,2.446289062E-1,8.517578125E0,3.561447144E0,9.235414781E0
2.490539550E-1,3.332061768E-1,8.685165405E0,3.578201294E0,9.399289812E0
2.540283200E-1,3.547668457E-1,8.721084595E0,3.772140503E0,9.508534061E0
2.590026850E-1,3.475799561E-1,8.740234375E0,3.951705933E0,9.598358637E0
2.639770500E-1,4.289855957E-1,8.867126465E0,4.145629883E0,9.797765435E0
2.689514160E-1,7.210693359E-1,9.123306274E0,4.152816772E0,1.004990276E1
2.739257810E-1,1.094573975E0,9.326812744E0,4.069015503E0,1.023447191E1
2.789001460E-1,1.468063354E0,9.501586914E0,3.944519043E0,1.039204476E1
2.839050290E-1,1.626083374E0,9.362731934E0,4.033111572E0,1.032331756E1
2.888793940E-1,1.671569824E0,9.132888794E0,3.767349243E0,1.001981655E1
2.938537590E-1,2.006759644E0,9.195129395E0,2.943740845E0,9.861191561E0
2.988281250E-1,2.545455933E0,9.216690063E0,2.663619995E0,9.925804406E0
3.038024900E-1,2.684310913E0,8.886291504E0,2.756988525E0,9.683629872E0
3.087768550E-1,2.638824463E0,8.522369385E0,2.673202515E0,9.313441156E0
3.137512200E-1,2.765716553E0,8.268585205E0,2.886276245E0,9.184186404E0
3.187561030E-1,3.009933472E0,8.163238525E0,3.322021484E0,9.313108475E0
3.237304680E-1,3.199066162E0,8.179992676E0,3.678756714E0,9.522581344E0
3.287048340E-1,3.457641602E0,8.153656006E0,4.138442993E0,9.775689342E0
3.336791990E-1,3.661148071E0,8.247024536E0,4.519134521E0,1.009158044E1
3.386535640E-1,3.926910400E0,8.326034546E0,4.997970581E0,1.047488360E1
3.436279290E-1,4.013107300E0,8.366744995E0,5.402587891E0,1.073756993E1
3.486328120E-1,4.003524780E0,8.383499146E0,5.653976440E0,1.087560197E1
3.536071770E-1,3.807205200E0,8.709106445E0,5.713836670E0,1.109014319E1
3.585815430E-1,3.132034302E0,9.247802734E0,5.524688721E0,1.121845264E1
3.635559080E-1,2.042678833E0,9.585388184E0,5.031478882E0,1.101671381E1
3.685302730E-1,1.046676636E0,9.697921753E0,4.315612793E0,1.066628952E1
3.735046380E-1,2.685699463E-1,9.712280273E0,3.752975464E0,1.041562973E1
3.784790040E-1,-3.443450928E-1,9.592575073E0,3.357940674E0,1.016916101E1
