"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,9.785522461E0,1.861694336E0,3.580017090E-1,9.967473143E0
4.974365000E-3,9.749603271E0,1.847335815E0,4.435729980E-2,9.923173945E0
9.979248000E-3,9.783126831E0,1.890426636E0,-3.942871094E-2,9.964177742E0
1.498413100E-2,9.716094971E0,1.792266846E0,-3.225708008E-2,9.880068949E0
1.995849600E-2,9.749603271E0,1.868881226E0,1.257629395E-1,9.927904981E0
2.493286100E-2,9.639480591E0,1.811416626E0,2.143554688E-1,9.810543538E0
2.993774400E-2,9.617919922E0,1.799453735E0,3.771514893E-1,9.792071314E0
3.491210900E-2,9.627502441E0,1.813812256E0,4.513854980E-1,9.807266032E0
3.991699200E-2,9.665817261E0,1.816207886E0,4.250488281E-1,9.844150594E0
4.489135700E-2,9.687362671E0,1.842544556E0,4.010925293E-1,9.869186449E0
4.986572300E-2,9.692153931E0,1.876068115E0,4.250488281E-1,9.881201642E0
5.484008800E-2,9.672988892E0,1.888031006E0,4.202575684E-1,9.864481314E0
5.984497100E-2,9.670593262E0,1.979019165E0,3.388519287E-1,9.876826996E0
6.481933600E-2,9.732849121E0,1.938308716E0,2.574462891E-1,9.927319441E0
6.979370100E-2,9.730453491E0,1.976623535E0,2.071685791E-1,9.931348577E0
7.476806600E-2,9.732849121E0,1.955062866E0,1.616821289E-1,9.928583179E0
7.974243200E-2,9.749603271E0,1.904785156E0,1.018218994E-1,9.934452081E0
8.471679700E-2,9.744812012E0,1.897613525E0,2.999877930E-2,9.927899988E0
8.972168000E-2,9.716094971E0,1.873672485E0,1.209716797E-1,9.895846816E0
9.469604500E-2,9.687362671E0,1.864089966E0,2.071685791E-1,9.867256242E0
9.967041000E-2,9.699325562E0,1.842544556E0,3.603973389E-1,9.879360963E0
1.046447750E-1,9.661026001E0,1.840148926E0,4.753265381E-1,9.846192502E0
1.096191410E-1,9.656234741E0,1.816207886E0,5.734863281E-1,9.842274485E0
1.145935060E-1,9.672988892E0,1.820999146E0,6.812286377E-1,9.866449434E0
1.195678710E-1,9.661026001E0,1.828170776E0,7.171325684E-1,9.858595787E0
1.245422360E-1,9.570037842E0,1.758743286E0,6.836090088E-1,9.754287443E0
1.295166010E-1,9.668197632E0,1.801834106E0,6.620635986E-1,9.856925474E0
1.344909670E-1,9.663421631E0,1.799453735E0,6.668548584E-1,9.852129047E0
1.394958500E-1,9.641860962E0,1.763534546E0,6.692504883E-1,9.824633994E0
1.444702150E-1,9.701721191E0,1.780288696E0,7.362823486E-1,9.891154312E0
1.494445800E-1,9.658630371E0,1.787475586E0,8.057250977E-1,9.855627963E0
1.544189450E-1,9.718475342E0,1.859298706E0,6.596679688E-1,9.916698870E0
1.593933100E-1,9.629898071E0,1.765930176E0,5.639038086E-1,9.806703511E0
1.643676760E-1,9.692153931E0,1.840148926E0,4.633483887E-1,9.876167658E0
1.693420410E-1,9.725662231E0,1.868881226E0,4.034881592E-1,9.911812426E0
1.743164060E-1,9.730453491E0,1.880844116E0,4.346160889E-1,9.920090266E0
1.792907710E-1,9.742431641E0,1.866485596E0,4.250488281E-1,9.928716395E0
1.842956540E-1,9.637084961E0,1.844940186E0,4.082794189E-1,9.820585671E0
1.892700190E-1,9.751998901E0,1.868881226E0,4.154663086E-1,9.938149318E0
1.942443850E-1,9.706512451E0,1.825790405E0,4.657440186E-1,9.887710152E0
1.992187500E-1,9.754394531E0,1.852111816E0,5.016632080E-1,9.941337778E0
2.041931150E-1,9.720870972E0,1.842544556E0,5.279998779E-1,9.908031427E0
2.091674800E-1,9.687362671E0,1.794662476E0,5.160217285E-1,9.865702577E0
2.141418460E-1,9.735244751E0,1.844940186E0,5.351715088E-1,9.922963428E0
2.191162110E-1,9.646652222E0,1.856903076E0,5.782775879E-1,9.840751653E0
2.240905760E-1,9.637084961E0,1.789871216E0,6.596679688E-1,9.824062670E0
2.290649410E-1,9.641860962E0,1.820999146E0,7.554473877E-1,9.841352623E0
2.340698240E-1,9.689758301E0,1.820999146E0,7.937469482E-1,9.891283437E0
2.390441890E-1,9.696929932E0,1.763534546E0,7.722015381E-1,9.886192362E0
2.440185550E-1,9.728057861E0,1.789871216E0,7.745971680E-1,9.921630385E0
2.489929200E-1,9.740036011E0,1.813812256E0,7.123413086E-1,9.933058267E0
2.539672850E-1,9.716094971E0,1.852111816E0,6.189727783E-1,9.910395903E0
2.589416500E-1,9.740036011E0,1.876068115E0,4.848937988E-1,9.930914110E0
2.639160160E-1,9.706512451E0,1.861694336E0,4.322204590E-1,9.892881496E0
2.688903810E-1,9.735244751E0,1.866485596E0,4.034881592E-1,9.920764161E0
2.738647460E-1,9.735244751E0,1.823394775E0,4.753265381E-1,9.915931332E0
