"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,3.416946411E0,9.008392334E0,1.114578247E0,9.698914366E0
4.974365000E-3,3.467224121E0,9.061065674E0,1.054718018E0,9.758943813E0
9.979248000E-3,3.426513672E0,9.082611084E0,9.134521484E-1,9.750344346E0
1.498413100E-2,3.448074341E0,9.073028564E0,7.961425781E-1,9.738732309E0
1.995849600E-2,3.486373901E0,9.101760864E0,6.740417480E-1,9.769912287E0
2.496337900E-2,3.431304932E0,9.113739014E0,6.644592285E-1,9.760922006E0
2.993774400E-2,3.421737671E0,9.118515015E0,6.596679688E-1,9.761698960E0
3.494262700E-2,3.428909302E0,9.094573975E0,6.069946289E-1,9.738436079E0
3.991699200E-2,3.457641602E0,9.032333374E0,6.117858887E-1,9.690852057E0
4.489135700E-2,3.476791382E0,9.015563965E0,6.931915283E-1,9.687568653E0
4.986572300E-2,3.503128052E0,9.041900635E0,8.200836182E-1,9.731413586E0
5.487060500E-2,3.457641602E0,9.037124634E0,8.727569580E-1,9.715277237E0
5.984497100E-2,3.462432861E0,9.013183594E0,9.709167480E-1,9.704050657E0
6.481933600E-2,3.361877441E0,8.998809814E0,1.104995728E0,9.669633580E0
6.979370100E-2,3.361877441E0,8.967681885E0,1.145690918E0,9.645420986E0
7.476806600E-2,3.342727661E0,9.010787964E0,1.138519287E0,9.678034620E0
7.974243200E-2,3.373855591E0,8.998809814E0,1.138519287E0,9.677691139E0
8.474731400E-2,3.385818481E0,9.005996704E0,1.071472168E0,9.680898514E0
8.972168000E-2,3.400177002E0,9.041900635E0,1.035568237E0,9.715429600E0
9.469604500E-2,3.424133301E0,9.039520264E0,8.966979980E-1,9.707815550E0
9.967041000E-2,3.488769531E0,9.044296265E0,7.410736084E-1,9.722139572E0
1.046447750E-1,3.517501831E0,9.041900635E0,6.907958984E-1,9.726560810E0
1.096191410E-1,3.505523682E0,9.032333374E0,7.243194580E-1,9.715780007E0
1.145935060E-1,3.522293091E0,9.053878784E0,8.200836182E-1,9.749451615E0
1.195678710E-1,3.529464722E0,9.037124634E0,9.230346680E-1,9.745703457E0
1.245422360E-1,3.452850342E0,9.010787964E0,9.685211182E-1,9.698170362E0
1.295471190E-1,3.393005371E0,9.046691895E0,1.030776978E0,9.716872998E0
1.345214840E-1,3.354690552E0,9.065841675E0,9.828948975E-1,9.716455956E0
1.394958500E-1,3.345123291E0,9.058670044E0,9.445800781E-1,9.702658621E0
1.444702150E-1,3.321182251E0,9.034729004E0,8.512115479E-1,9.663391786E0
1.494445800E-1,3.337936401E0,9.041900635E0,8.416290283E-1,9.675025888E0
1.544189450E-1,3.373855591E0,8.996414185E0,8.583984375E-1,9.646513236E0
1.593933110E-1,3.464828491E0,9.001205444E0,8.655700684E-1,9.683798194E0
1.643676760E-1,3.507919312E0,9.008392334E0,8.799438477E-1,9.707261793E0
1.693420410E-1,3.522293091E0,8.994018555E0,8.631744385E-1,9.697627983E0
1.743164060E-1,3.515106201E0,8.984451294E0,8.990936279E-1,9.689412057E0
1.793212890E-1,3.546234131E0,9.034729004E0,9.445800781E-1,9.751632489E0
1.842956540E-1,3.524688721E0,9.022750854E0,1.002044678E0,9.738457634E0
1.892700190E-1,3.445678711E0,9.008392334E0,9.661254883E-1,9.693153908E0
1.942443850E-1,3.409759521E0,9.046691895E0,9.565582275E-1,9.715147856E0
1.992187500E-1,3.409759521E0,9.044296265E0,9.302215576E-1,9.710358750E0
2.041931150E-1,3.385818481E0,9.058670044E0,9.278259277E-1,9.715149546E0
2.091674800E-1,3.376235962E0,9.113739014E0,9.374084473E-1,9.764115048E0
2.141418460E-1,3.402572632E0,9.161621094E0,9.278259277E-1,9.817008838E0
2.191162110E-1,3.371459961E0,9.166412354E0,8.631744385E-1,9.804842060E0
2.241210940E-1,3.419342041E0,9.154434204E0,7.458648682E-1,9.800606103E0
2.290954590E-1,3.464828491E0,9.149642944E0,7.171325684E-1,9.809958288E0
2.340698240E-1,3.462432861E0,9.113739014E0,7.123413086E-1,9.775280572E0
2.390441890E-1,3.498352051E0,9.137680054E0,7.937469482E-1,9.816603183E0
